board,mark,label,move_num
000000000000000000000000000000000000211120,2,W,354
000000000000000000000000000000200000211120,1,L,355
000000000000000000000000000000210000211120,2,W,356
000000000000000000000002000000210000211120,1,L,357
000000000000000000000002000000210000211121,2,W,358
000000000000000020000002000000210000211121,1,L,359
000000000100000020000002000000210000211121,2,W,360
000000000100000020000002200000210000211121,1,L,361
000000000100000021000002200000210000211121,2,W,362
000000000100000021000002200000210020211121,1,L,363
000000000100000021000002200000211020211121,2,W,364
000000000100000021000002200200211020211121,1,L,365
000000000100000021001002200200211020211121,2,W,366
000000000120000021001002200200211020211121,1,L,367
000100000120000021001002200200211020211121,2,W,368
000100000120000021001002220200211020211121,1,L,369
000100000120000021101002220200211020211121,2,W,370
000100000122000021101002220200211020211121,1,L,371
000110000122000021101002220200211020211121,2,W,372
002110000122000021101002220200211020211121,1,L,373
002110000122010021101002220200211020211121,2,W,374
002110200122010021101002220200211020211121,1,L,375
002110200122010021101002220201211020211121,2,W,376
000000000000000000000000000000000000000000,1,W,377
000000000000000000000000000000000000001000,2,L,378
000000000000000000000000000000000002001000,1,W,379
000000000000000000000000000000000002001100,2,L,380
000000000000000000000000000000000002001120,1,W,381
000000000000000000000000000000010002001120,2,L,382
000000000000000000000000000000010202001120,1,W,383
000000000000000000000000000000010202011120,2,L,384
000000000000000000000000000000010202211120,1,W,385
000000000000000000000000000000110202211120,2,L,386
000000000000000000000000000002110202211120,1,W,387
000000000000000000000000000002111202211120,2,L,388
000000000000000000000000000022111202211120,1,W,389
000000000000000000000001000022111202211120,2,L,390
000000000000000020000001000022111202211120,1,W,391
000000000000000020000001100022111202211120,2,L,392
000000000000000022000001100022111202211120,1,W,393
000000000000000022000011100022111202211120,2,L,394
000000000000000022000011100022111202211122,1,W,395
000000000000000000000000000000000000000000,1,L,396
000000000000000000000000000000000000001000,2,W,397
000000000000000000000000000000000000201000,1,L,398
000000000000000000000000000000000000201100,2,W,399
000000000000000000000000000000000000201120,1,L,400
000000000000000000000000000001000000201120,2,W,401
000000000000000000000000000001002000201120,1,L,402
000000000000000000000000010001002000201120,2,W,403
000000000000000000200000010001002000201120,1,L,404
000000000000000000200000010001002100201120,2,W,405
000000000000000000200000010001002100201122,1,L,406
000000000000000000200010010001002100201122,2,W,407
000000000000000200200010010001002100201122,1,L,408
000000000000000200200010011001002100201122,2,W,409
000000000000000200220010011001002100201122,1,L,410
000000000001000200220010011001002100201122,2,W,411
000000002001000200220010011001002100201122,1,L,412
000010002001000200220010011001002100201122,2,W,413
000010002001200200220010011001002100201122,1,L,414
000010002001200200220010011001012100201122,2,W,415
000010002001200200220010211001012100201122,1,L,416
000010002001200201220010211001012100201122,2,W,417
000010002021200201220010211001012100201122,1,L,418
000011002021200201220010211001012100201122,2,W,419
000211002021200201220010211001012100201122,1,L,420
010211002021200201220010211001012100201122,2,W,421
010211002021200201220010211001012102201122,1,L,422
010211002021200201220010211011012102201122,2,W,423
010211002021200201220210211011012102201122,1,L,424
010211002021200201220210211011012102211122,2,W,425
000000000000000000000000000000000000000000,1,W,426
000000000000000000000000000000000000001000,2,L,427
000000000000000000000000000000020000001000,1,W,428
000000000000000000000000000000020000011000,2,L,429
000000000000000000000000000000020000011200,1,W,430
000000000000000000000000100000020000011200,2,L,431
000000000000000000000000100000020000211200,1,W,432
000000000000000000000000100000021000211200,2,L,433
000000000000000000000000100002021000211200,1,W,434
000000000000000000000000100002121000211200,2,L,435
000000000000000000000002100002121000211200,1,W,436
000000000000000010000002100002121000211200,2,L,437
000000000000000010000002100002121000211220,1,W,438
000000000000000011000002100002121000211220,2,L,439
000000000200000011000002100002121000211220,1,W,440
000000000200000011000002110002121000211220,2,L,441
000000000220000011000002110002121000211220,1,W,442
000000000220000011100002110002121000211220,2,L,443
000000000222000011100002110002121000211220,1,W,444
000010000222000011100002110002121000211220,2,L,445
000010000222000011100022110002121000211220,1,W,446
000000000000000000000000000000000000000000,1,L,447
000000000000000000000000000000000000001000,2,W,448
000000000000000000000000000000000002001000,1,L,449
000000000000000000000000000000000002001100,2,W,450
000000000000000000000000000000000002001120,1,L,451
000000000000000000000000000000000002011120,2,W,452
000000000000000000000000000000000002211120,1,L,453
000000000000000000000000000000010002211120,2,W,454
000000000000000000000000200000010002211120,1,L,455
000000000000000000000000200000110002211120,2,W,456
000000000000000000000000200000112002211120,1,L,457
000000000000000000000000200001112002211120,2,W,458
000000000000000000000000200021112002211120,1,L,459
000000000000000000000010200021112002211120,2,W,460
000000000000000000000010220021112002211120,1,L,461
000000000000000100000010220021112002211120,2,W,462
000000002000000100000010220021112002211120,1,L,463
000000002000000101000010220021112002211120,2,W,464
000000002000000101200010220021112002211120,1,L,465
000000002001000101200010220021112002211120,2,W,466
000000002021000101200010220021112002211120,1,L,467
000100002021000101200010220021112002211120,2,W,468
000100002021000101200012220021112002211120,1,L,469
000100002021000111200012220021112002211120,2,W,470
000100002221000111200012220021112002211120,1,L,471
001100002221000111200012220021112002211120,2,W,472
001120002221000111200012220021112002211120,1,L,473
011120002221000111200012220021112002211120,2,W,474
011120002221000111200012220021112002211122,1,L,475
011120002221000111200012220021112012211122,2,W,476
011120002221000111200012220221112012211122,1,L,477
011120002221000111201012220221112012211122,2,W,478
011120002221020111201012220221112012211122,1,L,479
011120002221020111201112220221112012211122,2,W,480
011120002221022111201112220221112012211122,1,L,481
011120012221022111201112220221112012211122,2,W,482
211120012221022111201112220221112012211122,1,L,483
211120012221022111201112220221112112211122,2,W,484
000000000000000000000000000000000000000000,1,W,485
000000000000000000000000000000000000001000,2,L,486
000000000000000000000000000000000000001002,1,W,487
000000000000000000000000000000000000011002,2,L,488
000000000000000000000000000000000000211002,1,W,489
000000000000000000000000000000010000211002,2,L,490
000000000000000000000000000002010000211002,1,W,491
000000000000000000000000100002010000211002,2,L,492
000000000000000002000000100002010000211002,1,W,493
000000000000000002000000100002010000211102,2,L,494
000000000000000002000000100002010020211102,1,W,495
000000000000000000000000000000000000000000,1,D,496
000000000000000000000000000000000000001000,2,D,497
000000000000000000000000000000000000001020,1,D,498
000000000000000000000000000000000000011020,2,D,499
000000000000000000000000000000000000211020,1,D,500
000000000000000000000000000000100000211020,2,D,501
000000000000000000000000000000120000211020,1,D,502
000000000000000000000001000000120000211020,2,D,503
000000000000000020000001000000120000211020,1,D,504
000000000000000020000001000001120000211020,2,D,505
000000000000000020000021000001120000211020,1,D,506
000000000000000020000021000001120001211020,2,D,507
000000000000000020000021000021120001211020,1,D,508
000000000000000120000021000021120001211020,2,D,509
000000000200000120000021000021120001211020,1,D,510
000000000200000120000021000021120101211020,2,D,511
000000000200000120000021000021120101211220,1,D,512
000000000200000120000021000021121101211220,2,D,513
000000000200000120000021002021121101211220,1,D,514
000000000200000120010021002021121101211220,2,D,515
000000000200000120010221002021121101211220,1,D,516
000000000200000120010221002021121101211221,2,D,517
000000000200002120010221002021121101211221,1,D,518
000000010200002120010221002021121101211221,2,D,519
000000012200002120010221002021121101211221,1,D,520
100000012200002120010221002021121101211221,2,D,521
100000012200002120010221022021121101211221,1,D,522
100000012200002120110221022021121101211221,2,D,523
100000012200202120110221022021121101211221,1,D,524
100000012201202120110221022021121101211221,2,D,525
120000012201202120110221022021121101211221,1,D,526
121000012201202120110221022021121101211221,2,D,527
121000012201202120110221022021121121211221,1,D,528
121000012201202120110221122021121121211221,2,D,529
121000012201202122110221122021121121211221,1,D,530
121000012211202122110221122021121121211221,2,D,531
121200012211202122110221122021121121211221,1,D,532
121201012211202122110221122021121121211221,2,D,533
121221012211202122110221122021121121211221,1,D,534
121221012211202122110221122121121121211221,2,D,535
121221012211202122112221122121121121211221,1,D,536
121221012211212122112221122121121121211221,2,D,537
000000000000000000000000000000000000000000,1,W,538
000000000000000000000000000000000000000100,2,L,539
000000000000000000000000000000000000002100,1,W,540
000000000000000000000000000000000000102100,2,L,541
000000000000000000000000000000000000102102,1,W,542
000000000000000000000000000001000000102102,2,L,543
000000000000000000000000000001020000102102,1,W,544
000000000000000000000010000001020000102102,2,L,545
000000000000000200000010000001020000102102,1,W,546
000000000000000200000010100001020000102102,2,L,547
000000000000000202000010100001020000102102,1,W,548
000000001000000202000010100001020000102102,2,L,549
000000001000000202000010100001022000102102,1,W,550
000000001000000202000010110001022000102102,2,L,551
000000001000000202200010110001022000102102,1,W,552
000000001010000202200010110001022000102102,2,L,553
000000001012000202200010110001022000102102,1,W,554
000100001012000202200010110001022000102102,2,L,555
000100001012000202200010110001022020102102,1,W,556
000110001012000202200010110001022020102102,2,L,557
020110001012000202200010110001022020102102,1,W,558
020110001012000202200010110001022020112102,2,L,559
020110001012000202200010110001222020112102,1,W,560
020110001012000202200011110001222020112102,2,L,561
020110001012000202200011110001222022112102,1,W,562
020110001012000202200011110001222022112112,2,L,563
020110001012000202200011110021222022112112,1,W,564
020110001012000202200011110021222122112112,2,L,565
020110001012000202200211110021222122112112,1,W,566
000000000000000000000000000000000000000000,1,L,567
000000000000000000000000000000000000001000,2,W,568
000000000000000000000000000000000000201000,1,L,569
000000000000000000000000000000000000201100,2,W,570
000000000000000000000000000000000000201120,1,L,571
000000000000000000000000000000001000201120,2,W,572
000000000000000000000000000000021000201120,1,L,573
000000000000000000000000010000021000201120,2,W,574
000000000000000000200000010000021000201120,1,L,575
000000000000000000200000010000021100201120,2,W,576
000000000000000000200000012000021100201120,1,L,577
000000000000000000200000112000021100201120,2,W,578
000000000000000002200000112000021100201120,1,L,579
000000000000000002210000112000021100201120,2,W,580
000000000020000002210000112000021100201120,1,L,581
000000000021000002210000112000021100201120,2,W,582
000000000021000002210000112002021100201120,1,L,583
000000000021000002210010112002021100201120,2,W,584
000000000021000202210010112002021100201120,1,L,585
000100000021000202210010112002021100201120,2,W,586
000100000021000202210010112002021102201120,1,L,587
000100000021000202210010112012021102201120,2,W,588
000120000021000202210010112012021102201120,1,L,589
000120000021000202210010112012021102201121,2,W,590
000000000000000000000000000000000000000000,1,L,591
000000000000000000000000000000000001000000,2,W,592
000000000000000000000000000000000001002000,1,L,593
000000000000000000000000000000000001002100,2,W,594
000000000000000000000000000000020001002100,1,L,595
000000000000000000000000100000020001002100,2,W,596
000000000000000002000000100000020001002100,1,L,597
000000000000000002000000100010020001002100,2,W,598
000000000020000002000000100010020001002100,1,L,599
000000000020000002000000100010020001102100,2,W,600
000000000020000002000000100010022001102100,1,L,601
000000000020000002000100100010022001102100,2,W,602
000000000020002002000100100010022001102100,1,L,603
000100000020002002000100100010022001102100,2,W,604
000100000020002002000100100012022001102100,1,L,605
000100000020002002000110100012022001102100,2,W,606
000100000020002202000110100012022001102100,1,L,607
000100000020002202000110100012022001102101,2,W,608
000100000020002202000110100012022001122101,1,L,609
000100000020002202000110100012122001122101,2,W,610
000100002020002202000110100012122001122101,1,L,611
000100012020002202000110100012122001122101,2,W,612
000100012020002202000112100012122001122101,1,L,613
000100012020002212000112100012122001122101,2,W,614
000100012020002212000112100012122021122101,1,L,615
000100012120002212000112100012122021122101,2,W,616
002100012120002212000112100012122021122101,1,L,617
102100012120002212000112100012122021122101,2,W,618
102100012120002212000112100012122021122121,1,L,619
102100012120002212000112100012122121122121,2,W,620
102100012120002212000112102012122121122121,1,L,621
112100012120002212000112102012122121122121,2,W,622
112100012120002212020112102012122121122121,1,L,623
112100012120002212020112112012122121122121,2,W,624
112100012120002212220112112012122121122121,1,L,625
112100012121002212220112112012122121122121,2,W,626
112120012121002212220112112012122121122121,1,L,627
112120012121102212220112112012122121122121,2,W,628
112122012121102212220112112012122121122121,1,L,629
112122012121102212220112112112122121122121,2,W,630
000000000000000000000000000000000000000000,1,L,631
000000000000000000000000000000000000001000,2,W,632
000000000000000000000000000000000000201000,1,L,633
000000000000000000000000000000000001201000,2,W,634
000000000000000000000000000000000001201200,1,L,635
000000000000000000000000000000010001201200,2,W,636
000000000000000000000000000002010001201200,1,L,637
000000000000000000000000100002010001201200,2,W,638
000000000000000002000000100002010001201200,1,L,639
