board,mark,label,move_num
000000000000000000000000000000000000000000,1,W,238
000000000000000000000000000000000000001000,2,L,239
000000000000000000000000000000000000201000,1,W,240
000000000000000000000000000000000000201100,2,L,241
000000000000000000000000000000000000201120,1,W,242
000000000000000000000000000000001000201120,2,L,243
000000000000000000000000000000021000201120,1,W,244
000000000000000000000000000000021001201120,2,L,245
000000000000000000000000020000021001201120,1,W,246
000000000000000000000000020000021001201121,2,L,247
000000000000000000200000020000021001201121,1,W,248
000000000000000000200000120000021001201121,2,L,249
000000000002000000200000120000021001201121,1,W,250
000010000002000000200000120000021001201121,2,L,251
000010000002000000200000120000021201201121,1,W,252
000010000002000000200000120001021201201121,2,L,253
000010000002000002200000120001021201201121,1,W,254
000010000012000002200000120001021201201121,2,L,255
000010000012000002200020120001021201201121,1,W,256
000010000012000002200020120011021201201121,2,L,257
000010000012000202200020120011021201201121,1,W,258
000010000012000202200120120011021201201121,2,L,259
000010000012000202200120120011021221201121,1,W,260
000000000000000000000000000000000000000000,1,W,261
000000000000000000000000000000000000001000,2,L,262
000000000000000000000000000000000000201000,1,W,263
000000000000000000000000000000000000201100,2,L,264
000000000000000000000000000000000000201120,1,W,265
000000000000000000000000000000001000201120,2,L,266
000000000000000000000000000000021000201120,1,W,267
000000000000000000000000010000021000201120,2,L,268
000000000000000000200000010000021000201120,1,W,269
000000000000000000200000010000021100201120,2,L,270
000000000000000000200000210000021100201120,1,W,271
000000000000000001200000210000021100201120,2,L,272
000000000000000001200000210000021100201122,1,W,273
000000000000000001200000211000021100201122,2,L,274
000000000020000001200000211000021100201122,1,W,275
000000000021000001200000211000021100201122,2,L,276
000000000021000001200000211002021100201122,1,W,277
000010000021000001200000211002021100201122,2,L,278
000210000021000001200000211002021100201122,1,W,279
000210000021000001200010211002021100201122,2,L,280
000210000021000201200010211002021100201122,1,W,281
000210001021000201200010211002021100201122,2,L,282
020210001021000201200010211002021100201122,1,W,283
020210001021000201200010211002021101201122,2,L,284
020210001021000201200010211022021101201122,1,W,285
020210001021000201200110211022021101201122,2,L,286
020210001021002201200110211022021101201122,1,W,287
020210011021002201200110211022021101201122,2,L,288
220210011021002201200110211022021101201122,1,W,289
220210011021002201200110211022021111201122,2,L,290
220210011021002201220110211022021111201122,1,W,291
220210011021002201220110211122021111201122,2,L,292
220210011021002201220110211122021111221122,1,W,293
220210011021002201220110211122121111221122,2,L,294
220210011021002201222110211122121111221122,1,W,295
220210011021102201222110211122121111221122,2,L,296
220210011021102201222112211122121111221122,1,W,297
220211011021102201222112211122121111221122,2,L,298
220211011021102221222112211122121111221122,1,W,299
000000000000000000000000000000000000000000,1,W,300
000000000000000000000000000000000000001000,2,L,301
000000000000000000000000000000000000201000,1,W,302
000000000000000000000000000000000000201100,2,L,303
000000000000000000000000000000000000201120,1,W,304
000000000000000000000000000000001000201120,2,L,305
000000000000000000000000000000021000201120,1,W,306
000000000000000000000000010000021000201120,2,L,307
000000000000000000000000010000021000201122,1,W,308
000000000000000000000000000000000000000000,1,W,309
000000000000000000000000000000000000001000,2,L,310
000000000000000000000000000000000002001000,1,W,311
000000000000000000000000000000000002001100,2,L,312
000000000000000000000000000000000002001120,1,W,313
000000000000000000000000000000010002001120,2,L,314
000000000000000000000000000000012002001120,1,W,315
000000000000000000000000100000012002001120,2,L,316
000000000000000002000000100000012002001120,1,W,317
000000000000000002000000100000012002101120,2,L,318
000000000000000002000000100000012002121120,1,W,319
000000000000000002000000100001012002121120,2,L,320
000000000000000002000000100001212002121120,1,W,321
000000000000000002000010100001212002121120,2,L,322
000000000000000202000010100001212002121120,1,W,323
000000000000000202000011100001212002121120,2,L,324
000000000000000202000011120001212002121120,1,W,325
000000000000000202000011120011212002121120,2,L,326
000000002000000202000011120011212002121120,1,W,327
000000002000000212000011120011212002121120,2,L,328
000000002000000212000211120011212002121120,1,W,329
000000000000000000000000000000000000000000,1,W,330
000000000000000000000000000000000000010000,2,L,331
000000000000000000000000000000000000012000,1,W,332
000000000000000000000000000000000000012010,2,L,333
000000000000000000000000000000000002012010,1,W,334
000000000000000000000000000000000102012010,2,L,335
000000000000000000000000000000020102012010,1,W,336
000000000000000000000000000000020102012110,2,L,337
000000000000000000000000000000020102212110,1,W,338
000000000000000000000000100000020102212110,2,L,339
000000000000000000000000100002020102212110,1,W,340
000000000000000000000000100002120102212110,2,L,341
000000000000000000000000102002120102212110,1,W,342
000000000000000001000000102002120102212110,2,L,343
000000000000000001000000102022120102212110,1,W,344
000000000010000001000000102022120102212110,2,L,345
000200000010000001000000102022120102212110,1,W,346
000200000010000001000000102022121102212110,2,L,347
000200000010000001000200102022121102212110,1,W,348
000200000010001001000200102022121102212110,2,L,349
000200000010001001000200122022121102212110,1,W,350
000200000010001001100200122022121102212110,2,L,351
000200000012001001100200122022121102212110,1,W,352
000210000012001001100200122022121102212110,2,L,353
000210000012001001120200122022121102212110,1,W,354
000000000000000000000000000000000000000000,1,L,355
000000000000000000000000000000000000001000,2,W,356
000000000000000000000000000000000000201000,1,L,357
000000000000000000000000000000000000201100,2,W,358
000000000000000000000000000000000000201120,1,L,359
000000000000000000000000000000001000201120,2,W,360
000000000000000000000000000000021000201120,1,L,361
000000000000000000000000010000021000201120,2,W,362
000000000000000000200000010000021000201120,1,L,363
000000000000000000200000010000021100201120,2,W,364
000000000000000000200000012000021100201120,1,L,365
000000000000000000200000012000021100201121,2,W,366
000000000000000000200000012000021120201121,1,L,367
000000000000000000210000012000021120201121,2,W,368
000000000000000000210000012002021120201121,1,L,369
000000000001000000210000012002021120201121,2,W,370
000000000001000000210000012002021120221121,1,L,371
000000000001000000210000012002121120221121,2,W,372
000000000001000000210020012002121120221121,1,L,373
000000000001000100210020012002121120221121,2,W,374
000020000001000100210020012002121120221121,1,L,375
000020000001100100210020012002121120221121,2,W,376
000020000001100100210020012002121122221121,1,L,377
000020000001100100210021012002121122221121,2,W,378
000020002001100100210021012002121122221121,1,L,379
000020002001100110210021012002121122221121,2,W,380
000020002201100110210021012002121122221121,1,L,381
000021002201100110210021012002121122221121,2,W,382
002021002201100110210021012002121122221121,1,L,383
002021002201100110210021112002121122221121,2,W,384
002021002201100112210021112002121122221121,1,L,385
012021002201100112210021112002121122221121,2,W,386
000000000000000000000000000000000000000000,1,W,387
000000000000000000000000000000000000001000,2,L,388
000000000000000000000000000000000000201000,1,W,389
000000000000000000000000000000000001201000,2,L,390
000000000000000000000000000000000001201200,1,W,391
000000000000000000000000000000000001211200,2,L,392
000000000000000000000000000000020001211200,1,W,393
